customer_id,age,gender,city_tier,income,spending_score,num_transactions,membership_years,preferred_category,discount_usage,credit_score,annual_revenue
1,45,Male,Tier1,11215.72282361201,63,19,12,Electronics,0.0684561180491536,635.0,7199.891046687386
2,38,Male,Tier3,27211.0560646087,71,19,9,Grocery,0.2617890098566459,696.0,12892.44817370893
3,47,Male,Tier1,7502.039898032839,47,18,4,Electronics,0.3978383968967592,728.0,3569.7085333737077
4,58,Female,Tier3,29173.12727911337,84,14,10,Electronics,0.2369410150449106,703.0,13083.093334991978
5,37,Male,Tier2,41100.76569585486,81,13,13,Electronics,0.03496675291631318,658.0,17357.902139940586
6,37,Female,Tier2,48290.484906482074,3,26,19,Fashion,0.4978774179738787,657.0,16683.392219047164
7,58,Female,Tier1,11306.317299702763,46,21,14,Electronics,0.449467212009201,600.0,7391.878302085368
8,49,Male,Tier3,15133.89410425737,36,17,12,Electronics,0.2774870221260205,645.0,8169.285023829054
9,34,Male,Tier3,,26,14,2,Electronics,0.2981756400228069,568.0,8967.492100301513
10,46,Other,Tier2,15785.587701219187,10,26,8,Grocery,0.41263615357918493,587.0,6870.4884814216875
11,34,Other,Tier2,5708.925532738026,34,17,7,Grocery,0.10808421977354984,691.0,4087.1509208143198
12,34,Male,Tier2,15075.29316298519,78,14,14,Electronics,0.1432860104338276,612.0,8628.074704059702
13,42,Male,Tier1,26799.57067466123,8,12,0,Electronics,0.21130408161679812,590.0,7879.859350611884
14,17,Other,Tier2,46502.89372332474,55,9,1,Grocery,0.7639448592579622,685.0,15245.791933512464
15,19,Male,Tier3,71857.90789775664,91,27,8,Grocery,0.30645150047784014,680.0,22991.554592257555
16,33,Male,Tier1,24039.73785373731,10,26,20,Electronics,0.38409367965691094,632.0,11467.694370031564
17,27,Male,Tier1,,57,26,16,Fashion,0.373911064142995,638.0,14658.121489785797
18,43,Female,Tier1,43154.79411946086,79,26,8,Luxury,0.32014060725801635,683.0,17228.925380405784
19,29,Male,Tier2,5242.78621576834,86,24,0,Electronics,0.061080315937313966,727.0,2847.7245728540784
20,23,Male,Tier1,10791.874145031337,45,21,7,Grocery,0.07962093387895677,666.0,5533.734379025446
21,57,Male,Tier1,23665.972655284197,50,18,4,Electronics,0.39935950533989256,,7043.455517702627
22,37,Female,Tier1,65457.83067182162,64,26,10,Grocery,0.40946067736628267,632.0,21514.34819714318
23,40,Other,Tier2,34229.136757235305,95,20,5,Electronics,0.2606217244649115,617.0,12645.891698004078
24,22,Female,Tier1,27744.41182478387,2,18,16,Electronics,0.2514740404239985,565.0,15160.105806076836
25,33,Female,Tier2,18775.752824744242,45,23,17,Grocery,0.06537604892599529,689.0,9204.381525209197
26,41,Female,Tier1,29695.651247785187,95,15,17,Fashion,0.13474702778851774,695.0,12752.439451515376
27,26,Male,Tier2,14508.523436678299,62,11,4,Electronics,,708.0,5217.428860242027
28,44,Male,Tier3,12760.624584477562,14,30,4,Electronics,0.22703277943248348,570.0,4471.5114407006195
29,32,Female,Tier1,,74,19,18,Electronics,0.39996256800329,662.0,7818.149025731765
30,36,Male,Tier1,56293.65217781682,94,20,12,Grocery,0.3261763046445611,649.0,16601.5466728372
31,32,Male,Tier3,12232.15660527296,100,19,6,Grocery,0.28069696603225713,674.0,5292.869835003755
32,62,Female,Tier1,16661.501513463663,15,18,13,Electronics,0.1162236913671057,660.0,9634.699398284394
33,39,Male,Tier1,30629.1626623217,14,21,7,Grocery,0.23478995187989815,648.0,12408.165483603769
34,27,Male,Tier3,11894.966462088678,31,15,2,Grocery,0.2421489240894687,,4579.647845622557
35,49,Other,Tier3,25804.77260848011,29,25,3,Electronics,0.26760121607192483,738.0,11839.533309717941
36,25,Female,Tier2,25798.275701079474,27,19,9,Grocery,0.18721410829747848,581.0,12120.708687560078
37,42,Male,Tier1,14226.790540506918,85,17,3,Electronics,0.330697716449398,636.0,4816.075526852988
38,16,Other,Tier1,18376.975817143113,9,19,17,Fashion,0.5617099280890279,736.0,7622.62917398808
39,24,Female,Tier1,11378.67873773665,20,18,11,Electronics,0.181310208314301,585.0,5011.3714592120305
40,42,Female,Tier2,57984.80094300011,99,25,19,Electronics,0.6858908944475903,589.0,19208.90478499613
41,48,Male,Tier2,26378.79383281854,58,15,19,Electronics,0.3916567327788612,708.0,11323.565919085364
42,42,Male,Tier3,10571.847437751827,79,19,14,Fashion,0.15417196488471732,,7585.248066925204
43,38,Female,Tier1,24062.80721014673,88,24,12,Electronics,0.13513960276801068,702.0,12129.993063637452
44,36,Female,Tier2,24837.64968576508,49,18,11,Electronics,0.5466528864957917,610.0,11146.349892363352
45,22,Female,Tier1,4581.272648599577,57,23,7,Luxury,0.07407156192071616,682.0,3735.012022392842
46,31,Male,Tier1,56292.17579588995,16,24,8,Fashion,0.22474081116053965,552.0,18931.8634151244
47,34,Male,Tier2,11017.875975152201,100,24,19,Luxury,,744.0,7854.104151566407
48,110,Female,Tier1,95144.33001599816,75,15,8,Electronics,0.26603751537432474,552.0,41115.12704975854
49,44,Male,Tier2,38434.22173357635,8,23,16,Fashion,0.39659204855883273,707.0,14279.996507902597
50,18,Female,Tier2,10008.79196313438,67,17,0,Electronics,0.15461447655277666,555.0,3300.8472139363244
51,43,Male,Tier3,17677.08709310016,19,17,5,Electronics,0.2146560154887973,794.0,7437.78083617871
52,35,Male,Tier2,42017.131728174594,67,20,6,Electronics,0.3246983116637839,644.0,12457.696289397176
53,31,Female,Tier3,18649.471434584324,36,18,8,Electronics,0.32322681078680443,806.0,8291.764404717558
54,47,Female,Tier2,50250.01548563001,89,23,9,Electronics,0.48060439626034945,,18271.15920602892
55,52,Male,Tier1,16928.465524662257,60,25,3,Electronics,0.10122857399688795,614.0,6199.77034200899
56,51,Male,Tier1,20846.353857535996,36,24,15,Fashion,,746.0,9710.372707480581
57,29,Female,Tier2,42834.752275178565,11,30,11,Electronics,0.23800570962770856,535.0,14501.3301126245
58,36,Male,Tier2,33603.1030789111,51,27,8,Electronics,0.33624308859562496,594.0,14398.415760133128
59,43,Female,Tier2,,80,13,2,Electronics,0.17779066588022985,689.0,4244.911991937523
60,51,Other,Tier1,29846.896557350978,55,21,8,Fashion,0.4122338048483853,568.0,10872.488167591117
61,34,Male,Tier1,24765.66946749153,54,21,16,Electronics,0.1606586814197059,691.0,12521.368069377146
62,37,Female,Tier1,11635.157363484454,17,16,13,Electronics,0.38172973751352923,663.0,6901.623408636252
63,26,Male,Tier2,8322.068365916102,62,18,4,Electronics,0.3653684239384618,528.0,3928.699864075001
64,25,Female,Tier2,5698.916992988988,42,22,20,Fashion,0.20462394381476226,727.0,6902.5661218612995
65,49,Male,Tier2,17924.13021318133,24,25,0,Electronics,0.6351806933259991,549.0,5852.632576804696
66,56,Other,Tier1,21209.30709160533,17,16,0,Electronics,0.3723613586211459,711.0,5844.011782234608
67,39,Male,Tier1,31357.37104043072,48,25,2,Electronics,0.15501145462264201,660.0,11134.518311685299
68,52,Male,Tier2,39117.88403919144,84,34,8,Fashion,0.29661425767863914,613.0,14669.002411213136
69,44,Other,Tier2,,86,15,5,Electronics,0.15757619139466966,561.0,7722.467026400212
70,32,Female,Tier1,,70,21,8,Grocery,0.3558242947537577,676.0,8254.923268464387
71,44,Female,Tier2,12950.560853102803,7,16,3,Electronics,0.4154737500998377,580.0,5899.29589835356
72,58,Male,Tier1,23413.472758355485,14,15,19,Luxury,0.14727183779328554,746.0,10004.623216745094
73,39,Female,Tier2,43388.77634785189,11,14,18,Grocery,0.05971881218757938,749.0,16744.688230674878
74,58,Male,Tier3,,12,22,4,Grocery,0.04708614585800265,781.0,8572.600019779104
75,8,Male,Tier2,49728.2161322145,5,14,4,Electronics,0.527581964081817,672.0,15091.903902505639
76,49,Female,Tier2,42883.70355467104,5,22,13,Electronics,0.30404682195039195,617.0,18699.881707518118
77,41,Male,Tier1,61107.41429690551,20,27,9,Electronics,0.2995742328845924,626.0,19766.24278259932
78,36,Female,Tier2,,54,18,15,Grocery,0.22210390190646243,620.0,12106.998468896949
79,41,Female,Tier2,15173.395505703422,55,19,5,Luxury,0.16383728460840943,669.0,6273.530859403567
80,16,Female,Tier2,34025.43002460072,58,25,19,Electronics,0.06836793861988981,684.0,15022.887246824761
81,37,Female,Tier2,16966.021747647967,79,20,13,Fashion,0.5500553696273576,,7003.768345587458
82,44,Female,Tier1,33286.132491211574,90,21,17,Electronics,0.11813025499849934,651.0,16405.546165711046
